,HLY0,HLY60,Country,Year,IMR1,IMR5,SCI,CHE,Skilled,indice_composite,root
0,71.46739130434783,56.0,Afghanistan,2015,56.475583864118896,50.90383224873464,38.63636363636363,49.534541891229786,2.971768202080238,32.599823270660394,7.038077996955546
1,89.67391304347827,79.5,Algeria,2015,22.929936305732483,18.22125813449024,86.36363636363636,34.19892209701127,14.03034805709397,48.25676901797912,5.847984447398203
2,72.96195652173914,62.0,Angola,2015,61.3588110403397,63.77440347071583,43.18181818181818,12.787849093581578,7.141249043180692,30.381460342474814,3.5760102200051915
3,90.8967391304348,81.0,Argentina,2015,10.828025477707005,8.31525668835864,86.36363636363636,50.12248897599216,36.55725156468098,55.558975874134084,7.079723792351801
4,89.67391304347827,75.0,Armenia,2015,13.588110403397026,10.412147505422993,75.0,49.58353748162665,37.03453554865145,53.53088395961034,7.0415578874015265
5,95.92391304347825,93.00000000000001,Australia,2015,3.5031847133757963,2.8199566160520604,97.72727272727273,45.66389024987751,73.1235084875501,64.77106383972092,6.757506215304394
6,95.6521739130435,89.49999999999999,Austria,2015,3.184713375796178,2.675343456254519,89.77272727272727,50.80842724154826,59.975685532892065,61.01570774968465,7.128003033216825
7,85.73369565217392,65.5,Azerbaijan,2015,24.840764331210192,19.016630513376715,71.5909090909091,20.137187653111223,46.25602233328831,53.585244618608336,4.487447788343751
8,87.22826086956522,81.0,Bahamas,2015,12.738853503184712,10.12292118582791,82.95454545454545,25.52670259676629,28.09221486784637,53.36523030308126,5.052395728440746
9,87.22826086956522,81.0,Bahamas,2015,12.738853503184712,10.12292118582791,82.95454545454545,25.52670259676629,30.21297672114908,53.789382673741805,5.052395728440746
10,89.94565217391305,71.0,Bahrain,2015,6.900212314225053,5.49530007230658,85.22727272727273,24.399804017638417,15.340627673465711,53.23536839948126,4.93961577631686
11,86.68478260869566,77.5,Bangladesh,2015,32.48407643312102,27.114967462039044,52.27272727272727,12.052915237628614,3.322977171416993,37.360783231369815,3.4717308705642225
12,91.30434782608697,84.0,Barbados,2015,13.800424628450106,10.12292118582791,86.36363636363636,33.17001469867712,29.578098968886486,53.122850801276584,5.759341516065628
13,88.45108695652173,73.5,Belarus,2015,3.184713375796178,2.8922631959508314,84.0909090909091,29.74032337089662,69.74649916700437,64.83034028350858,5.453468930038625
14,95.10869565217392,89.49999999999999,Belgium,2015,3.3970276008492566,2.8199566160520604,94.31818181818181,51.10240078392945,63.80296276284388,62.74879570247502,7.1485943222377255
15,88.45108695652173,83.5,Belize,2015,14.012738853503185,11.06290672451193,75.0,28.515433610975013,11.630420099959476,47.67201139843485,5.339984420480552
16,73.77717391304348,63.5,Benin,2015,68.25902335456476,72.0173535791757,45.45454545454545,14.257716805487506,3.3815119996397858,27.432403656936735,3.775939195152314
17,85.05434782608697,72.0,Bhutan,2015,29.087048832271762,23.933477946493127,67.04545454545455,17.93238608525233,6.033589986041695,42.70953886855605,4.234664813801953
18,85.19021739130436,70.5,Bolivia (Plurinational State of),2015,26.64543524416136,22.415039768618943,72.72727272727273,32.0921117099461,6.659462380116169,44.64175206507699,5.664990000869031
19,91.03260869565219,75.0,Bosnia and Herzegovina,2015,5.732484076433121,4.55531453362256,68.18181818181819,45.76188143067124,34.945292449007155,53.4345890726668,6.764752872845484
20,71.73913043478261,58.0,Botswana,2015,34.07643312101911,29.790310918293564,69.31818181818181,28.074473297403234,14.007834661623665,47.15167171324396,5.298535014266041
21,87.90760869565219,79.5,Brazil,2015,14.8619957537155,11.352133044107013,88.63636363636364,43.45908868201861,41.85690485839074,56.81050577562749,6.5923507705535975
22,89.2663043478261,71.5,Brunei Darussalam,2015,9.341825902335458,7.664497469269703,94.31818181818181,11.709946104850564,37.18762663784952,58.83081873755356,3.4219798516137647
23,89.53804347826089,75.0,Bulgaria,2015,7.218683651804671,5.856832971800434,72.72727272727273,36.30573248407643,41.95596379846008,55.63580364995384,6.025423842691602
24,72.55434782608697,61.5,Burkina Faso,2015,63.16348195329087,72.81272595806217,43.18181818181818,28.564429201371876,3.0528164257733352,27.707163969359392,5.344570067028019
25,88.58695652173914,81.5,Cabo Verde,2015,17.72823779193206,14.099783080260302,76.13636363636364,23.615874571288582,9.203476068260615,46.60779624133176,4.859616710326915
26,82.47282608695653,65.5,Cambodia,2015,28.874734607218684,22.848879248011567,62.5,30.32827045565899,4.925930928902697,42.98337165806506,5.507110899161101
27,70.3804347826087,61.5,Cameroon,2015,60.828025477707,63.99132321041214,48.86363636363637,18.373346398824104,2.7151154937187627,31.208596225096155,4.28641416557291
28,96.60326086956522,94.0,Canada,2015,4.883227176220806,3.8322487346348515,100.0,52.327290543851056,55.75217254266288,61.17500987007049,7.233760470450418
29,60.05434782608696,48.0,Central African Republic,2015,95.22292993630573,91.61243673174258,36.36363636363637,24.644781969622734,1.3463010491242289,22.88633757735564,4.964351112645311
30,68.61413043478261,60.0,Chad,2015,80.78556263269638,93.5647143890094,30.681818181818183,22.146006859382652,1.58494304110946,19.93902701655749,4.705954404728402
31,94.29347826086959,90.0,Chile,2015,7.112526539278131,5.712219812002892,75.0,40.66634002939736,5.304155972803819,46.348438926058456,6.377016546112873
32,92.3913043478261,78.0,China,2015,9.766454352441611,7.736804049168474,86.36363636363636,23.95884370406663,26.867486154261787,53.84395738893656,4.894777186355538
33,92.79891304347827,88.5,Colombia,2015,14.225053078556263,11.279826464208242,86.36363636363636,36.84468397844194,13.062272051870863,48.79692847370852,6.069982205776385
